@relation annotated_features-weka.filters.unsupervised.attribute.Remove-R1

@attribute followers_count numeric
@attribute following_count numeric
@attribute bio_pronouns_count numeric
@attribute bio_NNP_tags numeric
@attribute bio_PRP_tags numeric
@attribute bio_Yes_freq_terms numeric
@attribute bio_No_freq_terms numeric
@attribute bio_auto_Yes_freq_terms numeric
@attribute name_auto_Yes_freq_terms numeric
@attribute bio_auto_No_freq_terms numeric
@attribute name_auto_No_freq_terms numeric
@attribute class {yes,no}

@data
59,124,0,1,0,0,0,6,1,0,0,yes
31,438,0,1,0,1,0,2,2,1,0,yes
176,35,2,5,1,0,0,18,2,0,0,yes
182,338,0,2,0,2,0,5,1,1,0,yes
213,191,1,1,1,1,0,8,1,0,0,yes
397,128,5,4,4,2,1,13,0,4,1,no
37,93,2,0,3,0,0,1,0,2,2,no
18,162,0,1,0,0,0,6,1,0,0,yes
1109,1338,0,0,0,0,3,3,0,12,2,no
123,313,1,2,0,0,0,11,2,0,0,yes
53,214,0,7,0,0,0,6,2,0,0,yes
879,782,1,10,1,0,0,3,0,7,0,no
211,325,0,8,0,0,0,7,1,0,0,yes
795,993,1,8,0,0,0,20,2,1,0,yes
114,283,0,12,0,0,0,14,2,0,0,yes
14,44,0,1,0,0,0,4,1,0,0,yes
341,90,0,2,0,0,0,1,1,3,1,no
37,202,0,13,0,1,0,19,2,0,0,yes
41,165,0,10,0,0,0,10,3,0,0,yes
107,247,3,1,1,1,0,9,1,0,0,yes
652,65,0,15,0,0,0,9,0,13,1,no
605,1040,0,0,0,1,0,2,1,0,0,yes
79,172,0,3,0,0,0,11,2,0,0,yes
629,503,4,7,1,1,0,17,2,0,0,yes
258,634,0,5,0,2,0,16,2,0,0,yes
815,2007,2,7,1,0,0,23,1,2,0,yes
250,258,0,12,0,0,0,3,0,13,0,no
127,277,1,0,0,1,1,20,2,1,0,yes
127,509,0,3,0,0,0,6,1,0,0,yes
131,1187,0,14,0,1,0,17,2,0,0,yes
896,718,0,5,0,0,0,7,1,0,0,yes
95,318,1,13,0,0,0,17,2,0,0,yes
68,86,0,12,0,0,0,12,1,0,0,yes
232,21,0,0,0,0,1,3,0,10,1,no
64,91,0,10,2,1,0,28,2,0,0,yes
151,157,0,10,0,0,0,10,1,0,0,yes
32,32,0,11,0,0,1,12,2,0,0,yes
292,227,0,2,0,0,0,2,2,0,0,yes
93,238,0,0,0,2,0,3,1,0,0,yes
599,165,0,17,0,0,0,13,3,0,0,yes
157,145,0,3,0,0,0,9,2,0,0,yes
218,263,0,3,0,0,0,2,1,0,0,yes
51,112,0,2,0,0,0,1,2,0,0,yes
171,856,0,9,0,2,0,15,1,0,0,yes
289,158,0,6,0,1,0,7,2,0,0,yes
872,1762,0,4,0,1,0,11,2,0,0,yes
209,192,0,5,0,0,0,0,0,3,1,no
58,165,1,4,0,0,0,16,2,0,0,yes
179,276,1,6,0,1,0,6,2,0,0,yes
1320,2002,0,3,0,0,0,9,2,0,0,yes
33,143,1,4,0,0,0,20,2,0,0,yes
113,292,0,1,0,0,0,2,1,0,0,yes
48,33,0,4,0,0,0,3,2,0,0,yes
790,1021,0,6,0,2,0,20,2,0,0,yes
479,699,0,14,0,0,0,0,0,8,2,no
82,314,0,6,0,0,0,9,2,0,0,yes
11,42,0,2,1,0,0,18,2,1,0,yes
93,254,0,14,0,1,0,19,2,0,0,yes
268,262,0,1,0,0,0,4,3,0,0,yes
1204,1067,0,5,0,0,0,5,1,0,0,yes
266,518,0,1,0,2,0,13,2,0,0,yes
45,261,1,2,1,1,0,13,2,0,0,yes
35,54,0,0,0,0,0,4,2,0,0,yes
173,186,0,3,0,1,0,8,1,0,0,yes
35,43,0,4,0,0,0,4,2,0,0,yes
324,282,0,11,0,0,0,1,0,12,1,no
282,211,1,1,1,0,0,3,2,0,0,yes
83,314,0,8,0,0,0,8,3,0,0,yes
392,385,0,3,0,0,0,5,1,0,0,yes
35,42,2,2,2,0,0,10,2,1,0,yes
232,195,0,2,0,0,0,7,3,0,0,yes
45,120,0,0,0,0,0,0,0,0,0,no
111,431,4,6,2,3,0,17,2,0,0,yes
