@relation features-weka.filters.unsupervised.attribute.Remove-R1

@attribute followers_count numeric
@attribute following_count numeric
@attribute bio_pronouns_count numeric
@attribute bio_NNP_tags numeric
@attribute bio_PRP_tags numeric
@attribute bio_Yes_freq_terms numeric
@attribute bio_No_freq_terms numeric
@attribute bio_auto_Yes_freq_terms numeric
@attribute name_auto_Yes_freq_terms numeric
@attribute bio_auto_No_freq_terms numeric
@attribute name_auto_No_freq_terms numeric
@attribute class {yes,no}

@data
857,2080,0,3,0,0,0,3,0,0,0,?
795,2,0,10,0,0,0,2,0,0,0,?
789,1792,0,0,0,2,0,10,0,0,0,?
784,919,0,1,0,0,0,9,1,2,0,?
783,1971,3,1,1,5,0,17,0,0,0,?
783,36,1,10,0,0,0,6,1,0,0,?
781,2075,0,7,0,0,0,15,0,3,0,?
780,1180,0,14,0,0,0,6,0,2,1,?
779,171,1,10,0,1,0,4,0,0,0,?
765,1970,0,3,0,0,0,11,1,1,0,?
768,798,0,3,0,0,0,2,0,0,0,?
765,73,0,1,0,1,0,0,0,0,0,?
761,25,0,3,0,1,0,6,0,0,0,?
760,290,0,5,0,0,0,7,0,0,0,?
760,587,1,4,1,0,0,5,0,0,0,?
762,236,0,0,0,0,0,8,0,1,0,?
752,813,0,10,0,0,0,12,0,1,0,?
757,618,1,2,0,2,0,17,0,0,0,?
751,390,0,10,0,0,0,14,0,0,0,?
750,138,0,5,0,0,0,12,0,0,0,?
744,1951,0,14,0,0,0,8,0,1,0,?
743,1609,2,2,1,0,0,11,0,0,0,?
738,1235,1,3,0,1,0,10,0,1,0,?
737,1801,2,7,3,0,0,14,0,0,0,?
724,1294,2,5,1,0,0,10,0,0,0,?
724,96,0,2,0,0,0,5,0,1,0,?
714,717,0,0,0,0,0,7,0,2,0,?
697,686,0,3,0,0,0,3,1,1,0,?
697,1904,0,0,0,0,0,1,0,1,0,?
694,1192,0,2,0,0,0,0,0,0,0,?
690,1508,3,2,1,1,0,15,0,0,0,?
688,1523,0,7,0,0,0,7,0,0,0,?
680,168,2,3,3,0,0,7,0,0,0,?
681,1823,0,8,0,0,0,6,0,2,0,?
689,1522,0,0,0,1,0,4,0,0,0,?
669,406,0,0,0,0,0,7,0,1,0,?
667,146,0,4,0,0,0,2,0,0,0,?
665,1984,0,6,0,0,0,7,0,1,0,?
663,1684,1,1,1,1,0,6,0,0,0,?
661,152,0,2,0,0,0,1,1,0,0,?
657,921,3,0,2,0,1,11,1,2,0,?
648,2034,0,4,0,0,0,3,0,0,0,?
653,337,0,6,0,0,0,6,0,0,0,?
651,1482,0,10,0,0,0,5,1,0,0,?
650,239,0,0,0,0,0,0,0,0,0,?
650,1121,0,1,0,0,0,8,0,2,0,?
648,1989,0,6,0,0,0,2,2,1,0,?
648,1145,0,2,1,2,1,9,0,0,1,?
646,188,0,2,0,0,0,6,0,0,0,?
640,718,0,4,0,0,0,6,2,1,1,?
640,242,0,0,0,0,0,1,1,0,0,?
640,2000,0,1,0,0,0,5,0,0,0,?
639,787,1,5,0,0,0,7,0,0,0,?
641,518,0,8,0,1,0,10,0,1,0,?
579,1949,0,8,0,0,0,5,0,0,0,?
632,1680,4,0,2,2,0,15,0,0,0,?
625,1107,1,12,0,0,0,4,0,1,0,?
629,1733,6,0,2,0,0,15,0,1,0,?
628,10,1,1,0,0,0,7,0,1,0,?
627,1735,0,3,0,0,0,11,0,2,0,?
623,60,1,1,0,0,0,4,0,1,0,?
